0,1,2
2020-12-10 19:27:24,1337116723657535488,top 10 if you dont agree im on your ass
2020-12-10 18:59:55,1337109809464741888,"11/12 YUNK VINO FT DOKA

TENHO CERTEZA QUE EU NÃO MORRO ENVENENADO, NO.

🤮

@yvnkvino https://t.co/tWZPkwQY09"
2020-12-10 15:09:52,1337051914299723777,RT @npadryel: a capa do @npsidoka &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
2020-12-10 14:22:45,1337040058088632320,São Paulo 🛩
2020-12-10 14:18:32,1337038997055561729,RT @qeutglck: Mc Rick x Djonga x Ronaldinho x Sidoka https://t.co/QFoYfnLFhk
2020-12-10 14:12:23,1337037448547868673,airport life
2020-12-10 14:12:10,1337037396576235525,@mybaddiez nem eu
2020-12-10 14:11:29,1337037224366526465,no hotel da swarovski do nada
2020-12-10 14:10:51,1337037064940949504,vamos pro aeroporto denovo
2020-12-10 08:52:15,1336956884264349696,não da pra falar de sonho eu não tenho dormido
2020-12-10 03:35:51,1336877259181993986,ouvi umas palavras que sorri daqui ate ali
2020-12-10 03:22:18,1336873850986967042,RT @qeutglck: Sidoka x Ronaldinho Gaúcho https://t.co/XOroMmFRDR
2020-12-09 20:14:17,1336766134494879744,credoooooooo deus ouviu minhas preces https://t.co/F1HTgbdmwH
2020-12-09 19:42:18,1336758088322445325,RT @fslmentiroza: sidoka e suas luvas coloridas https://t.co/kMIlKzhBVQ
2020-12-09 19:36:21,1336756589777260546,oiiiiii porto alegre porque nao ta frio aqui oque esta acontecendo
2020-12-09 19:30:43,1336755172824010757,"@dokaenglish no now you talk portuguese 
i speak doka language"
2020-12-09 19:29:45,1336754930611261443,@cairocesaar caguetou na tora ta banido do beco
2020-12-09 19:21:13,1336752780086833154,got a chick so fine that make a blind man see her
2020-12-09 19:18:19,1336752050630176770,"RT @digolei: ͏FILHA DA PUTA
͏
͏
͏
͏
͏
͏
                  ͏ ͏ELA GOSTA DE BALA"
2020-12-09 10:45:25,1336622978067537920,"RT @yngluvbagin: u might just be my type n i know just what you like but im

Still fucked up"
2020-12-09 10:26:21,1336618179221737472,had me out like a light
2020-12-09 04:22:21,1336526575869833216,oiiiiiiiiiiiiii
2020-12-09 04:22:09,1336526525785657345,patroa na area kkkkkkjkkj
2020-12-09 04:19:41,1336525905393557505,@marigalileia foi eu msm
2020-12-08 08:45:36,1336230434993221634,@mybaddiez vc sabe que nao
2020-12-08 08:45:23,1336230382073765888,@YasminIacillo escrevi nao a tradução tava errada
2020-12-08 08:42:10,1336229571138625536,"motherfuckin girl
i love her
imma give her the world

thugga"
2020-12-08 07:18:00,1336208391237226498,RT @qeutglck: Sidoka Fora de contexto https://t.co/RcvOnltvPg
2020-12-08 05:07:32,1336175558535819267,i be feelin so strange https://t.co/iE9BOvGxUL
2020-12-08 05:01:59,1336174162310795266,sukita
2020-12-08 04:45:19,1336169966773690368,como ousam falar do chefão
2020-12-08 03:43:47,1336154481474613250,eles citam meu nome demais e só me enriquece nego
2020-12-08 02:51:21,1336141285795770368,aos cara eu odeio cerveja e abriram um bar chamado sidoka beer https://t.co/e9aj1FCM02
2020-12-08 02:06:41,1336130043060379650,RT @marigalileia: o homem mais romântico do mundo é o meu
2020-12-08 00:09:24,1336100529102082048,@fermaedoromeo mas não sabe oque é
2020-12-08 00:07:27,1336100038578155525,morrend de saudade dela mas vo surpreender ela amanhã
2020-12-08 00:04:57,1336099411617865728,to lombrado demais to o bagaço da laranja
2020-12-07 23:52:09,1336096187364089856,sou frio e se eu te dou afeto é pq vc é uma pessoa rara
2020-12-07 18:55:29,1336021531248496640,"@is4aczz feat com flacko 
"" ayup "" 
dentre varias coisas"
2020-12-07 18:50:09,1336020188672761864,dia 11/12 eu no flow podcast
2020-12-07 12:02:10,1335917514568699905,quarto do cara é o unico que tem ar condicionado
2020-12-07 11:58:55,1335916698457808896,dogdu ronca igual uma kawasaki ninja impossivel dormi
2020-12-07 10:47:32,1335898733775564801,mlk deve so ter ido responder a danada e vcs ai https://t.co/FQmCbr2Xgs
2020-12-07 10:33:08,1335895108869361664,vcs nao tem noção de quanto o cara é puro quando ele sente verdade em vc &amp; outra filho da puta talentoso do caralho
2020-12-07 10:29:33,1335894207786078208,eu juro por deus eu sou muito grato de ter o zemaru do nosso lado
2020-12-07 00:07:18,1335737612141801481,@marigalileia ok mas se quise fala comigo to aq viu
2020-12-07 00:04:00,1335736782256791552,RT @qeutglck: Domingo é paia https://t.co/O75BPjE5QD
2020-12-06 23:55:17,1335734587608227840,@marigalileia oi linda vem smp aqui
